agentX,agentY,eDist
7,5,1.4167448423151008
8,5,4.114226801109167
8,4,3.4893845891521234
7,4,2.9998334052109845
7,5,2.675751462911982
8,5,4.387695183160249
9,5,4.295042496048943
9,6,4.8153801833773615
9,5,6.196514803050801
8,5,6.344820286349769
9,5,7.132574042053457
8,5,7.383428545568459
7,5,5.905085097697069
7,4,5.1757819177506015
7,3,6.227492650855009
8,3,3.6791017449914167
7,3,4.245078874862252
7,2,2.6241142129201362
8,2,0.8763540614323699
9,2,1.9044515179104713
9,1,2.0362878226112264
8,1,2.16926986349744
8,2,2.8683448636740403
7,2,2.834640107908877
8,2,4.676482248895429
8,1,5.344421251367392
7,1,4.9884271352418486
7,0,3.7702606739700824
8,0,2.193524445264758
7,0,1.6318256357792356
7,9,1.6738210288141175
7,8,1.5569578525720087
6,8,2.635485183149194
5,8,2.4286100583482133
4,8,3.4390724853547026
3,8,4.473141766343318
3,9,2.594060591581392
2,9,2.783523991225925
1,9,3.206420260551304
1,0,3.1696823028481766
1,1,4.040005352616196
0,1,5.130732661447936
0,0,3.8587616333521932
9,0,3.604672145023609
9,9,2.509583915432424
9,0,1.9550662293366683
0,0,-0.07957095643822651
0,1,0.9378579295569982
0,0,1.5007598729722769
1,0,3.6020380077360206
0,0,2.756526283288041
1,0,5.046597791134405
1,9,4.721154506699295
1,8,4.385866165740155
2,8,3.8538753828172347
3,8,3.0478450994408894
3,9,3.594645104984082
2,9,1.3591437114928513
3,9,3.730152322875281
3,8,4.231419031647662
4,8,4.469169733902209
4,9,4.917953510790394
5,9,3.8100317479797114
4,9,2.679798956061851
4,0,2.1003498212626885
5,0,-0.5616333205617268
5,9,-0.04206706123785901
6,9,2.077638112291125
5,9,-0.17147663045626174
6,9,1.342193522372008
5,9,1.8265161907698368
4,9,1.9232384405242973
4,8,3.7542755220039683
3,8,3.333302453114928
3,9,1.2622395559684216
4,9,3.37866863591994
3,9,3.363752173031447
3,8,4.169792482506013
3,9,5.561553450728969
3,8,3.8936722392218885
4,8,3.0042168356876613
4,9,3.037510032252464
4,8,2.9643292997383597
3,8,2.552333660497668
3,7,4.383793114398501
2,7,4.189468232118174
2,6,5.610305989869996
3,6,6.254095229752557
3,5,3.7917092715529224
3,4,3.125612528194761
4,4,3.8777882905807197
5,4,5.750502311661306
5,3,4.501545933141408
6,3,4.271216165058342
5,3,4.417460820774227
6,3,4.877662818454549
7,3,4.8546217678375765
7,4,4.629297011810975
7,3,3.3358630473720834
6,3,2.768439352196479
7,3,2.4851404869125915
7,2,1.4947158583315774
7,1,2.0372741928473928
6,1,2.846477344370487
6,2,3.254244468701155
6,1,3.0137482388995207
7,1,3.062799103137604
8,1,4.964922873060391
8,2,4.595339671890825
9,2,4.0824299663963215
0,2,3.531670562483379
1,2,4.4957087975866035
1,3,5.812854478893302
2,3,5.145641336241257
2,2,2.769461503298013
3,2,2.1690158339920957
3,1,1.6668943950950152
4,1,2.7624643370123816
4,0,3.3729617836861983
4,9,3.223058569330727
4,0,3.05779684132066
5,0,4.273678832700857
6,0,3.7771187289202715
6,9,1.8879521238410144
6,8,2.127929616127292
6,7,3.2733373773219046
6,8,2.0411842097284425
6,9,1.9301232633149574
5,9,1.5584739680199233
5,0,3.241739208586715
5,9,1.6211090962358712
5,0,4.082831541626894
6,0,2.9870625952298884
5,0,1.8050368891800173
4,0,1.4670797611602255
4,1,2.125042471982749
5,1,1.7354617393988652
5,0,1.8321222737942453
5,9,2.0033457131361323
5,8,3.3223737875968036
4,8,4.110357227538152
4,9,3.040112243686026
4,0,2.496844365755781
5,0,1.8668695409965845
5,9,3.9936257495669834
6,9,4.3309805497791185
6,8,4.263476030157425
6,9,4.363938635738487
5,9,2.738591665003635
5,8,1.7239136001386588
5,9,1.2234589293039513
6,9,0.915039321591691
6,0,-0.5054768319067674
7,0,2.1097608350982866
8,0,3.852197337981114
8,1,3.4085956270883635
7,1,1.4451390373622117
7,0,2.0632395973265285
7,9,3.0963452300813143
7,8,4.187245025239722
8,8,5.5417320620565045
7,8,5.970423641124549
8,8,6.152819060203592
7,8,5.537581965375069
6,8,4.84827420562157
7,8,4.163053088543655
7,9,4.237723637977531
6,9,5.180421870524774
5,9,3.8677583500456194
5,8,1.9888176575537784
5,7,-0.09267790570337649
5,6,2.2552318087028604
5,7,1.1028082831876143
4,7,1.060066516743619
3,7,2.4025507645327737
4,7,1.099440220393436
4,8,1.8376507439372656
4,7,2.0102925843268795
4,6,2.716555976540004
4,5,4.961855862805316
5,5,4.773609006319147
5,6,3.1372268033620747
4,6,3.6036903342004707
4,5,3.9108026927420076
5,5,4.275186393822342
6,5,3.9137701365094952
7,5,5.5027923493877715
7,4,3.8580578969880466
7,3,4.1973484363602225
7,4,5.868313947422078
7,3,6.195534627503706
7,2,4.010928569588208
7,3,3.809934860021187
6,3,4.7547571943745535
6,4,4.5346577489233875
6,3,3.5471671225288612
7,3,3.285979891163213
7,4,5.025191297810808
8,4,4.518756690253252
9,4,5.894367229617259
0,4,5.701175009637815
